537.425964,563.238892,583.219055,593.022766,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,

avg. max avg. throughput in test times
411.030426
avg. BS TX power in all test times
MBS area 1,MBS area 2,MBS area 3,MBS area 4,CBSD 1,CBSD 2,CBSD 3,CBSD 4,CBSD 5,CBSD 6,CBSD 7,CBSD 8,CBSD 9,CBSD 10,
10.000,10.000,10.000,10.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,
avg. mbs all power,avg. cbsd enable number,avg. mbs area all power,avg. cbsd all power
70.000,4.000,40.000,4.000
avg. number of relay UE
653

BS TX power
MBS area 1,MBS area 2,MBS area 3,MBS area 4,CBSD 1,CBSD 2,CBSD 3,CBSD 4,CBSD 5,CBSD 6,CBSD 7,CBSD 8,CBSD 9,CBSD 10,
10.000,10.000,10.000,10.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,
max average power
411.030426

x,y,area,be blocked (1 : NLOS / 0 : LOS),be blocked number (>=1 : CBSD(x) / 0 : no),connect bs number (>=1 : CBSD / 0 : MBS),throughput (unit : M bps)
1553,1335,1,0,0,4,22.269899
-208,721,2,1,0,1,42.287476
-870,-1076,3,0,0,0,793.172546
1345,-1038,4,1,0,4,22.269899
851,725,1,0,0,0,854.504456
-381,614,2,0,0,0,980.196533
-1711,-1779,3,1,0,4,22.269899
1540,-1904,4,0,0,4,22.269899
330,1825,1,0,0,1,42.287476
-1970,1649,2,0,0,1,42.287476
-377,-370,3,0,0,0,1070.528198
684,-86,4,0,0,0,993.761230
69,552,1,0,0,0,1055.601440
-1479,1006,2,1,0,1,42.287476
-437,-1709,3,0,0,4,22.269899
834,-1235,4,0,0,0,771.870300
1642,1447,1,0,0,4,22.269899
-171,619,2,0,0,0,1014.205750
-1003,-761,3,0,0,0,820.320801
1576,-500,4,0,0,0,742.045654
388,463,1,1,0,4,22.269899
-860,195,2,0,0,0,922.816467
-840,-1063,3,0,0,0,799.235352
42,-1666,4,0,0,0,739.779053
1585,1976,1,0,0,1,42.287476
-1239,552,2,1,0,1,42.287476
-452,-1023,3,1,0,4,22.269899
1439,-247,4,0,0,0,777.747070
99,485,1,1,0,4,22.269899
-112,357,2,0,0,0,1169.991089
-802,-1483,3,1,0,4,22.269899
718,-1763,4,1,0,4,22.269899
1856,1007,1,0,0,4,22.269899
-1062,264,2,1,0,1,42.287476
-227,-1100,3,1,0,4,22.269899
1555,-169,4,0,0,0,757.969666
809,1879,1,0,0,1,42.287476
-129,981,2,0,0,0,889.655151
-695,-675,3,0,0,0,895.714905
934,-1697,4,0,0,4,22.269899
937,1931,1,0,0,1,42.287476
-1786,1281,2,0,0,1,42.287476
-1836,-1445,3,1,0,4,22.269899
1186,-1267,4,0,0,0,728.154175
1256,1787,1,1,0,1,42.287476
-1704,1707,2,1,0,1,42.287476
-587,-1826,3,0,0,4,22.269899
814,-1056,4,0,0,0,803.836487
1237,1742,1,0,0,1,42.287476
-817,51,2,0,0,0,944.255127
-1926,-126,3,0,0,4,22.269899
1103,-1905,4,0,0,4,22.269899
745,1392,1,0,0,0,755.290527
