each generation's max average throughput
552.235352,572.524902,572.524902,572.524902,572.524902,572.524902,577.250122,577.250122,577.250122,577.250122,577.250122,577.250122,577.250122,582.789246,582.789246,582.789246,582.789246,586.516479,586.516479,586.516479,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.296021,590.296021,590.296021,590.296021,590.296021,590.296021,590.296021,590.296021,590.296021,597.190735,597.190735,597.190735,597.190735,597.190735,597.190735,597.190735,597.190735,597.190735,597.190735,597.190735,597.190735,597.190735,597.190735,597.190735,598.127991,598.127991,598.127991,598.127991,598.127991,598.127991,598.127991,598.127991,601.185486,601.185486,601.185486,601.185486,601.185486,601.185486,601.185486,601.185486,601.185486,601.185486,601.185486,601.185486,601.185486,601.185486,601.185486,601.362854,601.362854,601.362854,601.362854,601.362854,601.362854,601.362854,601.362854,601.362854,601.362854,601.362854,601.362854,601.362854,


the 1st max average throughput times

BS TX power
MBS area 1,MBS area 2,MBS area 3,MBS area 4,CBSD 1,CBSD 2,CBSD 3,CBSD 4,CBSD 5,CBSD 6,CBSD 7,CBSD 8,CBSD 9,CBSD 10,CBSD 11,CBSD 12,CBSD 13,CBSD 14,CBSD 15,CBSD 16,CBSD 17,CBSD 18,CBSD 19,CBSD 20,CBSD 21,CBSD 22,CBSD 23,CBSD 24,CBSD 25,
5.000,5.000,5.000,10.000,0.000,0.000,0.875,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.750,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.625,

max average throughput
441.523499

x,y,area,be blocked (1 : NLOS / 0 : LOS),be blocked number (>=1 : CBSD(x) / 0 : no),connect bs number (>=1 : CBSD / 0 : MBS),throughput (unit : M bps)
1553,1335,1,0,0,0,582.032532
-208,721,2,1,0,3,19.716255
-870,-1076,3,0,0,0,693.762207
1345,-1038,4,1,0,3,19.716255
851,725,1,0,0,0,754.890198
-381,614,2,0,0,0,880.358032
-1711,-1779,3,1,0,3,19.716255
1540,-1904,4,0,0,3,19.716255
330,1825,1,0,0,0,610.185425
-1970,1649,2,0,0,0,518.074951
-377,-370,3,0,0,0,970.614563
684,-86,4,0,0,0,993.761230
69,552,1,0,0,0,955.697205
-1479,1006,2,1,0,3,19.716255
-437,-1709,3,0,0,0,624.438110
834,-1235,4,0,0,3,19.716255
1642,1447,1,0,0,0,563.227234
-171,619,2,0,0,0,914.333374
-1003,-761,3,0,0,0,720.809448
1576,-500,4,0,0,3,19.716255
388,463,1,1,0,3,19.716255
-860,195,2,0,0,0,823.056824
-840,-1063,3,0,0,0,699.800781
42,-1666,4,0,0,0,739.779053
1585,1976,1,0,0,0,522.027649
-1239,552,2,1,0,3,19.716255
-452,-1023,3,1,0,3,19.716255
1439,-247,4,0,0,3,19.716255
99,485,1,1,0,3,19.716255
-112,357,2,0,0,0,1070.034424
-802,-1483,3,1,0,3,19.716255
718,-1763,4,1,0,3,19.716255
1856,1007,1,0,0,0,573.362366
-1062,264,2,1,0,3,19.716255
-227,-1100,3,1,0,3,19.716255
1555,-169,4,0,0,3,19.716255
809,1879,1,0,0,0,582.333984
-129,981,2,0,0,0,789.957581
-695,-675,3,0,0,0,796.004944
934,-1697,4,0,0,3,19.716255
937,1931,1,0,0,0,568.743103
-1786,1281,2,0,0,0,562.028870
-1836,-1445,3,1,0,3,19.716255
1186,-1267,4,0,0,3,19.716255
1256,1787,1,1,0,3,19.716255
-1704,1707,2,1,0,3,19.716255
-587,-1826,3,0,0,0,600.627136
814,-1056,4,0,0,3,19.716255
1237,1742,1,0,0,0,570.039001
