each generation's max average throughput
601.822205,603.882263,612.620300,615.960327,613.891174,613.891174,613.891174,613.891174,613.891174,613.891174,613.891174,613.891174,614.115112,614.115112,614.115112,614.115112,614.115112,614.115112,614.115112,614.115112,618.134583,614.115112,614.115112,614.115112,614.115112,614.115112,614.115112,614.115112,614.115112,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,614.386963,


the 1st max average throughput times

BS TX power
MBS area 1,MBS area 2,MBS area 3,MBS area 4,CBSD 1,CBSD 2,CBSD 3,CBSD 4,CBSD 5,CBSD 6,CBSD 7,CBSD 8,CBSD 9,CBSD 10,CBSD 11,CBSD 12,CBSD 13,CBSD 14,CBSD 15,CBSD 16,CBSD 17,CBSD 18,CBSD 19,CBSD 20,CBSD 21,CBSD 22,CBSD 23,CBSD 24,CBSD 25,CBSD 26,CBSD 27,CBSD 28,CBSD 29,CBSD 30,
7.500,10.000,8.750,8.750,0.000,0.750,0.000,0.625,0.875,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.750,0.000,0.000,0.000,0.000,0.000,0.000,

max average throughput
601.822205

x,y,area,be blocked (1 : NLOS / 0 : LOS),be blocked number (>=1 : CBSD(x) / 0 : no),connect bs number (>=1 : CBSD / 0 : MBS),throughput (unit : M bps)
1553,1335,1,0,0,0,639.675354
-208,721,2,1,0,5,102.994965
-870,-1076,3,0,0,0,773.992493
1345,-1038,4,1,0,2,97.120094
851,725,1,0,0,0,813.129578
-381,614,2,0,0,0,980.196533
-1711,-1779,3,1,0,4,89.904404
1540,-1904,4,0,0,0,610.714661
330,1825,1,0,0,0,667.979675
-1970,1649,2,0,0,0,616.072327
-377,-370,3,0,0,0,1051.276001
684,-86,4,0,0,0,974.517761
69,552,1,0,0,0,1014.129761
-1479,1006,2,1,0,5,102.994965
-437,-1709,3,0,0,0,704.355774
834,-1235,4,0,0,0,752.703674
1642,1447,1,0,0,0,620.750549
-171,619,2,0,0,0,1014.205750
-1003,-761,3,0,0,0,801.126221
1576,-500,4,0,0,0,722.901428
388,463,1,1,0,2,97.120094
-860,195,2,0,0,0,922.816467
-840,-1063,3,0,0,0,780.051819
42,-1666,4,0,0,0,720.636780
1585,1976,1,0,0,0,579.227966
-1239,552,2,1,0,5,102.994965
-452,-1023,3,1,0,4,89.904404
1439,-247,4,0,0,0,758.576538
99,485,1,1,0,5,102.994965
-112,357,2,0,0,0,1169.991089
-802,-1483,3,1,0,4,89.904404
718,-1763,4,1,0,4,89.904404
1856,1007,1,0,0,0,630.951904
-1062,264,2,1,0,5,102.994965
-227,-1100,3,1,0,4,89.904404
1555,-169,4,0,0,0,738.812927
809,1879,1,0,0,0,639.978394
-129,981,2,0,0,0,889.655151
-695,-675,3,0,0,0,876.491943
934,-1697,4,0,0,0,677.576355
937,1931,1,0,0,0,626.303040
-1786,1281,2,0,0,0,660.554871
-1836,-1445,3,1,0,4,89.904404
1186,-1267,4,0,0,0,709.022095
1256,1787,1,1,0,2,97.120094
-1704,1707,2,1,0,5,102.994965
-587,-1826,3,0,0,0,680.397583
814,-1056,4,0,0,0,784.650452
1237,1742,1,0,0,0,627.607361
-817,51,2,0,0,0,944.255127
-1926,-126,3,0,0,0,678.601501
1103,-1905,4,0,0,0,641.063110
