each generation's max average throughput
605.893982,605.893982,609.412170,609.412170,609.412170,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,615.079285,617.455383,617.455383,617.455383,617.455383,617.455383,617.455383,617.455383,617.455383,617.455383,617.455383,617.455383,617.455383,617.499451,617.499451,617.499451,617.499451,617.499451,617.499451,617.499451,617.499451,617.499451,617.499451,617.499451,617.655029,617.655029,617.655029,617.655029,617.655029,617.655029,617.655029,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,617.935547,618.139282,618.139282,618.139282,618.139282,618.139282,


the 1st max average throughput times

BS TX power
MBS area 1,MBS area 2,MBS area 3,MBS area 4,CBSD 1,CBSD 2,CBSD 3,CBSD 4,CBSD 5,CBSD 6,CBSD 7,CBSD 8,CBSD 9,CBSD 10,
10.000,8.750,10.000,8.750,0.500,0.875,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,

max average throughput
605.893982

x,y,area,be blocked (1 : NLOS / 0 : LOS),be blocked number (>=1 : CBSD(x) / 0 : no),connect bs number (>=1 : CBSD / 0 : MBS),throughput (unit : M bps)
1553,1335,1,0,0,0,680.750244
-208,721,2,1,0,2,77.539436
-870,-1076,3,0,0,0,793.172546
1345,-1038,4,1,0,4,61.845070
851,725,1,0,0,0,854.504456
-381,614,2,0,0,0,960.955139
-1711,-1779,3,1,0,4,61.845070
1540,-1904,4,0,0,0,610.714661
330,1825,1,0,0,0,709.131287
-1970,1649,2,0,0,0,597.095703
-377,-370,3,0,0,0,1070.528198
684,-86,4,0,0,0,974.517761
69,552,1,0,0,0,1055.601440
-1479,1006,2,1,0,1,183.786163
-437,-1709,3,0,0,0,723.483521
834,-1235,4,0,0,0,752.703674
1642,1447,1,0,0,0,661.765503
-171,619,2,0,0,0,994.959534
-1003,-761,3,0,0,0,820.320801
1576,-500,4,0,0,0,722.901428
388,463,1,1,0,2,77.539436
-860,195,2,0,0,0,903.586365
-840,-1063,3,0,0,0,799.235352
42,-1666,4,0,0,0,720.636780
1585,1976,1,0,0,0,620.079529
-1239,552,2,1,0,1,199.520172
-452,-1023,3,1,0,4,61.845070
1439,-247,4,0,0,0,758.576538
99,485,1,1,0,2,77.539436
-112,357,2,0,0,0,1150.732910
-802,-1483,3,1,0,4,61.845070
718,-1763,4,1,0,4,61.845070
1856,1007,1,0,0,0,672.000305
-1062,264,2,1,0,4,61.845070
-227,-1100,3,1,0,4,61.845070
1555,-169,4,0,0,0,738.812927
809,1879,1,0,0,0,681.054443
-129,981,2,0,0,0,870.433960
-695,-675,3,0,0,0,895.714905
934,-1697,4,0,0,0,677.576355
937,1931,1,0,0,0,667.336487
-1786,1281,2,0,0,0,641.501892
-1836,-1445,3,1,0,4,61.845070
1186,-1267,4,0,0,0,709.022095
1256,1787,1,1,0,2,77.539436
-1704,1707,2,1,0,1,115.696060
-587,-1826,3,0,0,0,699.500549
814,-1056,4,0,0,0,784.650452
1237,1742,1,0,0,0,668.645020
-817,51,2,0,0,0,925.020325
-1926,-126,3,0,0,0,697.702515
1103,-1905,4,0,0,0,641.063110
745,1392,1,0,0,0,755.290527
-1145,1338,2,0,0,0,704.834229
-335,-798,3,0,0,0,928.213074
1561,-1407,4,0,0,0,654.295349
573,873,1,0,0,0,874.134583
-318,1781,2,0,0,0,697.115417
-1475,-1542,3,0,0,0,669.000427
452,-438,4,1,0,4,61.845070
407,1716,1,0,0,0,723.545410
-250,641,2,0,0,0,975.086060
-209,-1239,3,1,0,4,61.845070
420,-120,4,0,0,0,1106.080200
474,597,1,0,0,0,964.788147
-865,421,2,0,0,0,878.528259
-1505,-1335,3,0,0,0,685.844971
799,-989,4,1,0,4,61.845070
1506,188,1,0,0,0,766.627197
-996,353,2,1,0,4,61.845070
-1261,-768,3,0,0,0,774.535095
1435,-889,4,0,0,0,716.958374
533,101,1,0,0,0,1062.850464
-1142,704,2,1,0,1,249.004120
-25,-1194,3,0,0,0,835.507935
672,-909,4,1,0,4,61.845070
18,956,1,0,0,0,899.505737
-222,278,2,1,0,0,225.446259
-753,-240,3,0,0,0,954.381348
474,-1297,4,1,0,4,61.845070
1810,256,1,0,0,0,713.266785
-1936,731,2,1,0,4,61.845070
-1241,-233,3,0,0,0,819.484985
452,-1209,4,0,0,0,793.977234
468,1347,1,0,0,0,784.527527
-303,1735,2,0,0,0,704.799011
-388,-1398,3,1,0,4,61.845070
725,-121,4,0,0,0,956.042969
757,1742,1,0,0,0,702.299500
-551,1522,2,1,0,2,77.539436
-353,-1892,3,1,0,4,61.845070
201,-1140,4,0,0,0,825.276245
1628,568,1,0,0,0,730.016357
-1057,194,2,1,0,4,61.845070
-1547,-758,3,0,0,0,730.268982
1801,-1449,4,0,0,0,627.135559
1186,611,1,0,0,0,803.660034
-107,681,2,1,0,2,77.539436
-1114,-395,3,0,0,0,838.487244
458,-1155,4,0,0,0,804.924194
629,806,1,1,0,2,77.539436
-559,870,2,1,0,1,205.668472
-1681,-253,3,0,0,0,734.087708
701,-1002,4,0,0,0,809.501038
1709,1053,1,0,0,0,686.473877
-224,1482,2,0,0,0,751.051392
-1133,-1558,3,0,0,0,698.252869
1046,-349,4,1,0,2,77.539436
407,745,1,0,0,0,933.771667
-638,1061,2,0,0,0,805.954102
-319,-109,3,0,0,0,1200.068970
1571,-1449,4,0,0,0,649.489563
1605,1186,1,0,0,0,688.147400
